Vehicle,A,A_Ang_X,A_Ang_Z,S1,S1_Ang_Y,S1_Ang_Z,S2,S2_Ang_Y,S2_Ang_Z,B,B_Ang_X,B_Ang_Y,R,R_Ang_X,R_Ang_Z,BU,Mp01,Mp02,Mp03,Mp04,Mp05,Mp06,Mp07,Mp08,Mp09,Mp10,Mp11,Mp12,BIW_mass_swr,mass
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,512,28.9,10.7,510,7.2,3.8,691,5,0.8,320,23.9,13.2,590,1.7,10.1,172,2.1677367,1.7387402,4.2980769,3.3152106,3.3262859,3.2697908,6.1763644,4.10598,1.58507,7.0457433,7.9069383,9.8092237,3990,1361.774744
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,505,29.9,12.1,540,9.2,5.6,941,10,3.4,348,25.5,13.7,606,1.3,7.9,152,0.5521983,0.4427374,0.4147934,6.7398849,6.465807,6.2322091,4.6997088,5.3813937,1.8896712,3.8066099,5.9569083,8.3774136,5233,1495.142857
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,546,26.3,10.4,526,9.5,5.8,551,5.9,2.3,357,24.8,12.4,597,2.5,4.4,168,4.2770733,3.8767836,7.0877791,5.8584881,6.9454973,5.5772271,7.0006358,7.9135727,7.0061877,10.0518604,11.4249595,14.0516122,5148,1523.076923
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,511,33.4,12.9,535,9.3,5,952,11.5,4.4,373,23.4,10.8,611,1.7,7.3,146,3.735897,4.2829287,4.0240071,3.6780258,4.0141759,4.0502182,4.3895417,3.733167,3.6526847,5.9513425,6.1302791,8.2351104,4247,1685.31746
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
